town,state,lat,lon
Carlisle,PA,40.201824,-77.189389
New Buffalo,PA,40.454167,-76.97
Harrisburg,PA,40.266311,-76.886112
Millersburg,PA,40.541715,-76.9614
Plainville,PA,40.266,-76.575
Duncannon,PA,40.393143,-77.032575
Halifax,PA,40.469105,-76.931457
Reading,PA,40.335345,-75.92795
Kingston,PA,41.266667,-75.883333
Georgetown,PA,39.937603,-76.083286
East Hanover,PA,40.416667,-76.699722
West Hanover,PA,40.383333,-76.733056
Dauphin County,PA,40.398036,-76.811517
Greensburg,PA,40.301458,-79.538929
Linglestown,PA,40.334135,-76.789157
Birdsboro,PA,40.264537,-75.804085
West Fairview,PA,40.275089,-76.91553
New Buffalo Perry County,PA,40.454252,-76.969699

